Gmt time,Open,High,Low,Close,Volume
06.10.2020 13:36:00.000,115.668,115.688,115.507,115.648,5007410.0494
06.10.2020 13:37:00.000,115.627,115.707,115.568,115.648,4194340.229
06.10.2020 13:38:00.000,115.668,115.668,115.357,115.358,4628429.8897
06.10.2020 13:39:00.000,115.347,115.527,115.288,115.518,4570970.0584
06.10.2020 13:40:00.000,115.517,115.558,115.267,115.308,6452050.209
06.10.2020 13:41:00.000,115.308,115.348,115.157,115.247,3946120.0237
06.10.2020 13:42:00.000,115.237,115.317,115.188,115.278,4008200.1686
06.10.2020 13:43:00.000,115.287,115.288,115.017,115.157,5348659.9922
06.10.2020 13:44:00.000,115.157,115.298,115.147,115.178,5788219.9287
06.10.2020 13:45:00.000,115.167,115.207,114.827,114.837,5367390.1558
06.10.2020 13:46:00.000,114.838,114.928,114.717,114.917,6932489.872
06.10.2020 13:47:00.000,114.927,115.058,114.857,115.048,5591740.1314
06.10.2020 13:48:00.000,115.048,115.048,114.848,114.887,4647930.1453
06.10.2020 13:49:00.000,114.898,115.028,114.898,114.967,5268199.9207
06.10.2020 13:50:00.000,114.958,114.958,114.737,114.787,5470449.9245
06.10.2020 13:51:00.000,114.778,114.917,114.747,114.867,5330470.0851
06.10.2020 13:52:00.000,114.858,114.887,114.787,114.828,5293990.1352
06.10.2020 13:53:00.000,114.837,114.888,114.607,114.628,5871260.1662
06.10.2020 13:54:00.000,114.618,114.658,114.527,114.638,6347410.202
06.10.2020 13:55:00.000,114.637,114.728,114.627,114.697,4068449.9741
06.10.2020 13:56:00.000,114.688,114.788,114.667,114.768,5188829.8988
06.10.2020 13:57:00.000,114.778,114.788,114.668,114.758,5737100.1244
06.10.2020 13:58:00.000,114.747,114.927,114.637,114.868,4930490.0169
06.10.2020 13:59:00.000,114.847,114.928,114.787,114.887,4649869.9188
06.10.2020 14:00:00.000,114.888,115.128,114.847,115.108,5274549.9611
06.10.2020 14:01:00.000,115.118,115.138,114.917,115.048,4671259.8801
06.10.2020 14:02:00.000,115.058,115.238,115.007,115.238,4691589.8323
06.10.2020 14:03:00.000,115.248,115.318,115.167,115.298,4690450.1915
06.10.2020 14:04:00.000,115.288,115.338,115.167,115.228,4007410.0494
06.10.2020 14:05:00.000,115.218,115.218,115.007,115.048,4468120.0981
06.10.2020 14:06:00.000,115.048,115.108,114.947,114.998,4370530.1285
06.10.2020 14:07:00.000,114.987,115.128,114.918,115.097,4413760.1852
06.10.2020 14:08:00.000,115.088,115.197,115.087,115.168,4490409.8511
06.10.2020 14:09:00.000,115.157,115.207,115.127,115.148,2727869.9875
06.10.2020 14:10:00.000,115.147,115.168,115.008,115.077,3307660.1028
06.10.2020 14:11:00.000,115.087,115.228,115.017,115.217,2734260.0822
06.10.2020 14:12:00.000,115.228,115.388,115.228,115.337,3930619.9551
06.10.2020 14:13:00.000,115.337,115.437,115.287,115.407,2710700.0351
06.10.2020 14:14:00.000,115.418,115.427,115.337,115.338,3588989.9731
06.10.2020 14:15:00.000,115.338,115.338,115.147,115.198,3771219.9688
06.10.2020 14:16:00.000,115.217,115.368,115.187,115.358,3168720.0069
06.10.2020 14:17:00.000,115.367,115.578,115.367,115.417,4069719.7914
06.10.2020 14:18:00.000,115.407,115.558,115.387,115.517,3385060.0719
06.10.2020 14:19:00.000,115.518,115.528,115.457,115.477,3225850.1053
06.10.2020 14:20:00.000,115.488,115.528,115.387,115.398,3084599.9718
06.10.2020 14:21:00.000,115.387,115.398,115.227,115.337,4511990.0703
