INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 21.269956399998364
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 21.996855999999525
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit -6.615200000000598
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 5.435141799998732
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 2.865649199998842
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 79.71308640000203
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 39.59595640000052
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 38.65685600000148
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 8.25980000000115
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 18.882141800000312
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 15.003649200000268
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 8.098681800000207
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 79.88408640000041
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 39.749956399999064
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 38.79685600000016
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 8.38479999999997
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 18.995141799999246
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 15.105649199999306
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 8.19168179999933
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit -0.16257360000065546
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 85.01408640000061
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 44.36995639999924
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 42.99685600000032
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 12.134800000000112
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 22.385141799999374
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 18.16564919999942
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 10.981681799999436
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit 2.35742639999944
INFO:root:Ticker APPL, Size 76, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:02:00 Sell Time None Trande UP Profit 0.5365904000000228
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 76.4640864000011
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 36.66995639999968
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 35.99685600000072
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 5.884800000000467
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 16.735141799999695
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 13.065649199999712
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 6.3316817999997
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit -1.8425736000003212
INFO:root:Ticker APPL, Size 76, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:02:00 Sell Time None Trande UP Profit -3.263409599999761
INFO:root:Ticker APPL, Size 68, Market Value Bought 114.7609476, Market Value Sold None Enter Time 2020-05-10 14:03:00 Sell Time None Trande UP Profit -5.640436799999804
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 73.04408639999934
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 33.5899563999981
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 33.196855999999286
